train_type,batch_size,test_batch,clean_correct,dirty_correct
increasing,8,0,TRUE,FALSE
increasing,8,1,TRUE,FALSE
increasing,8,2,TRUE,FALSE
increasing,8,3,FALSE,FALSE
increasing,8,4,TRUE,FALSE
increasing,8,5,TRUE,FALSE
increasing,8,6,TRUE,FALSE
increasing,8,7,TRUE,FALSE
increasing,8,8,TRUE,FALSE
increasing,8,9,TRUE,TRUE
increasing,8,10,TRUE,FALSE
increasing,8,11,TRUE,FALSE
increasing,8,12,FALSE,FALSE
increasing,8,13,TRUE,FALSE
increasing,8,14,TRUE,FALSE
increasing,8,15,TRUE,FALSE
increasing,8,16,FALSE,TRUE
increasing,8,17,TRUE,FALSE
increasing,8,18,TRUE,FALSE
increasing,8,19,TRUE,FALSE
increasing,8,20,TRUE,FALSE
increasing,8,21,TRUE,FALSE
increasing,8,22,TRUE,FALSE
increasing,8,23,TRUE,FALSE
increasing,8,24,TRUE,FALSE
increasing,8,25,TRUE,FALSE
increasing,8,26,TRUE,FALSE
increasing,8,27,TRUE,FALSE
increasing,8,28,TRUE,FALSE
increasing,8,29,TRUE,FALSE
increasing,8,30,TRUE,FALSE
increasing,8,31,TRUE,FALSE
increasing,8,32,TRUE,FALSE
increasing,8,33,TRUE,FALSE
increasing,8,34,TRUE,FALSE
increasing,8,35,TRUE,FALSE
increasing,8,36,TRUE,FALSE
increasing,8,37,FALSE,FALSE
increasing,8,38,TRUE,FALSE
increasing,8,39,TRUE,FALSE
increasing,8,40,TRUE,FALSE
increasing,8,41,TRUE,FALSE
increasing,8,42,TRUE,FALSE
increasing,8,43,TRUE,FALSE
increasing,8,44,TRUE,FALSE
