train_type,batch_size,accuracy
increasing,1,0.9333333333333333
increasing,2,0.9482758620689655
increasing,3,0.9642857142857143
increasing,4,0.9814814814814815
increasing,5,1.0
increasing,6,1.0
increasing,7,1.0
increasing,8,1.0
increasing,9,1.0
rolling,1,0.5
rolling,2,0.5
rolling,3,0.5178571428571429
rolling,4,0.6296296296296297
rolling,5,0.7884615384615384
rolling,6,0.9
rolling,7,0.9375
rolling,8,0.9782608695652174
rolling,9,1.0
