train_type,batch_size,test_batch,clean_correct,dirty_correct
increasing,2,0,True,True
increasing,2,1,True,True
increasing,2,2,True,True
increasing,2,3,True,True
increasing,2,4,True,True
increasing,2,5,True,True
increasing,2,6,True,True
increasing,2,7,True,True
increasing,2,8,True,True
increasing,2,9,True,True
increasing,2,10,True,True
increasing,2,11,True,True
increasing,2,12,True,True
increasing,2,13,True,True
increasing,2,14,True,True
increasing,2,15,True,True
increasing,2,16,True,True
increasing,2,17,True,True
increasing,2,18,True,True
increasing,2,19,True,True
increasing,2,20,True,True
increasing,2,21,True,True
increasing,2,22,True,True
increasing,2,23,True,True
increasing,2,24,True,True
increasing,2,25,True,True
increasing,2,26,True,True
increasing,2,27,True,True
increasing,2,28,True,True
increasing,3,0,True,True
increasing,3,1,True,True
increasing,3,2,True,True
increasing,3,3,True,True
increasing,3,4,True,True
increasing,3,5,True,True
increasing,3,6,True,True
increasing,3,7,True,True
increasing,3,8,True,True
increasing,3,9,True,True
increasing,3,10,True,True
increasing,3,11,True,True
increasing,3,12,True,True
increasing,3,13,True,True
increasing,3,14,True,True
increasing,3,15,True,True
increasing,3,16,True,True
increasing,3,17,True,True
increasing,3,18,True,True
increasing,3,19,True,True
increasing,3,20,True,True
increasing,3,21,True,True
increasing,3,22,True,True
increasing,3,23,True,True
increasing,3,24,True,True
increasing,3,25,True,True
increasing,3,26,True,True
increasing,3,27,True,True
increasing,4,0,True,True
increasing,4,1,True,True
increasing,4,2,True,True
increasing,4,3,True,True
increasing,4,4,True,True
increasing,4,5,True,True
increasing,4,6,True,True
increasing,4,7,True,True
increasing,4,8,True,True
increasing,4,9,True,True
increasing,4,10,True,True
increasing,4,11,True,True
increasing,4,12,True,True
increasing,4,13,True,True
increasing,4,14,True,True
increasing,4,15,True,True
increasing,4,16,True,True
increasing,4,17,True,True
increasing,4,18,True,True
increasing,4,19,True,True
increasing,4,20,True,True
increasing,4,21,True,True
increasing,4,22,True,True
increasing,4,23,True,True
increasing,4,24,True,True
increasing,4,25,True,True
increasing,4,26,True,True
increasing,5,0,True,True
increasing,5,1,True,True
increasing,5,2,True,True
increasing,5,3,True,True
increasing,5,4,True,True
increasing,5,5,True,True
increasing,5,6,True,True
increasing,5,7,True,True
increasing,5,8,True,True
increasing,5,9,True,True
increasing,5,10,True,True
increasing,5,11,True,True
increasing,5,12,True,True
increasing,5,13,True,True
increasing,5,14,True,True
increasing,5,15,True,True
increasing,5,16,True,True
increasing,5,17,True,True
increasing,5,18,True,True
increasing,5,19,True,True
increasing,5,20,True,True
increasing,5,21,True,True
increasing,5,22,True,True
increasing,5,23,True,True
increasing,5,24,True,True
increasing,5,25,True,True
increasing,6,0,True,True
increasing,6,1,True,True
increasing,6,2,True,True
increasing,6,3,True,True
increasing,6,4,True,True
increasing,6,5,True,True
increasing,6,6,True,True
increasing,6,7,True,True
increasing,6,8,True,True
increasing,6,9,True,True
increasing,6,10,True,True
increasing,6,11,True,True
increasing,6,12,True,True
increasing,6,13,True,True
increasing,6,14,True,True
increasing,6,15,True,True
increasing,6,16,True,True
increasing,6,17,True,True
increasing,6,18,True,True
increasing,6,19,True,True
increasing,6,20,True,True
increasing,6,21,True,True
increasing,6,22,True,True
increasing,6,23,True,True
increasing,6,24,True,True
increasing,7,0,True,True
increasing,7,1,True,True
increasing,7,2,True,True
increasing,7,3,True,True
increasing,7,4,True,True
increasing,7,5,True,True
increasing,7,6,True,True
increasing,7,7,True,True
increasing,7,8,True,True
increasing,7,9,True,True
increasing,7,10,True,True
increasing,7,11,True,True
increasing,7,12,True,True
increasing,7,13,True,True
increasing,7,14,True,True
increasing,7,15,True,True
increasing,7,16,True,True
increasing,7,17,True,True
increasing,7,18,True,True
increasing,7,19,True,True
increasing,7,20,True,True
increasing,7,21,True,True
increasing,7,22,True,True
increasing,7,23,True,True
increasing,8,0,True,True
increasing,8,1,True,True
increasing,8,2,True,True
increasing,8,3,True,True
increasing,8,4,True,True
increasing,8,5,True,True
increasing,8,6,True,True
increasing,8,7,True,True
increasing,8,8,True,True
increasing,8,9,True,True
increasing,8,10,True,True
increasing,8,11,True,True
increasing,8,12,True,True
increasing,8,13,True,True
increasing,8,14,True,True
increasing,8,15,True,True
increasing,8,16,True,True
increasing,8,17,True,True
increasing,8,18,True,True
increasing,8,19,True,True
increasing,8,20,True,True
increasing,8,21,True,True
increasing,8,22,True,True
increasing,9,0,True,True
increasing,9,1,True,True
increasing,9,2,True,True
increasing,9,3,True,True
increasing,9,4,True,True
increasing,9,5,True,True
increasing,9,6,True,True
increasing,9,7,True,True
increasing,9,8,True,True
increasing,9,9,True,True
increasing,9,10,True,True
increasing,9,11,True,True
increasing,9,12,True,True
increasing,9,13,True,True
increasing,9,14,True,True
increasing,9,15,True,True
increasing,9,16,True,True
increasing,9,17,True,True
increasing,9,18,True,True
increasing,9,19,True,True
increasing,9,20,True,True
increasing,9,21,True,True
