train_type,batch_size,accuracy
increasing,1,1.0
increasing,2,1.0
increasing,3,1.0
increasing,4,1.0
increasing,5,1.0
increasing,6,1.0
increasing,7,1.0
increasing,8,1.0
increasing,9,1.0
rolling,1,1.0
rolling,2,1.0
rolling,3,1.0
rolling,4,1.0
rolling,5,1.0
rolling,6,1.0
rolling,7,1.0
rolling,8,1.0
rolling,9,1.0
