train_type,batch_size,accuracy
increasing,1,0.4807692307692308
increasing,2,0.4803921568627451
increasing,3,0.48
increasing,4,0.47959183673469385
increasing,5,0.4791666666666667
increasing,6,0.4787234042553192
increasing,7,0.4782608695652174
increasing,8,0.4777777777777778
increasing,9,0.4772727272727273
rolling,1,0.5
rolling,2,0.6372549019607843
rolling,3,0.86
rolling,4,0.9591836734693877
rolling,5,0.9895833333333334
rolling,6,1.0
rolling,7,1.0
rolling,8,1.0
rolling,9,1.0
