train_type,batch_size,test_batch,clean_correct,dirty_correct
rolling,1,0,False,True
rolling,1,1,True,False
rolling,1,2,True,False
rolling,1,3,True,False
rolling,1,4,False,True
rolling,1,5,True,False
rolling,1,6,False,True
rolling,1,7,False,True
rolling,1,8,False,True
rolling,1,9,False,False
rolling,1,10,False,True
rolling,1,11,False,True
rolling,1,12,False,True
rolling,1,13,False,True
rolling,1,14,False,False
rolling,1,15,False,True
rolling,1,16,False,True
rolling,1,17,False,True
rolling,1,18,False,True
rolling,1,19,False,True
rolling,1,20,False,True
rolling,1,21,False,True
rolling,1,22,False,True
rolling,1,23,False,True
rolling,1,24,False,True
rolling,1,25,True,False
rolling,1,26,False,False
rolling,1,27,False,False
rolling,1,28,False,False
rolling,1,29,False,True
rolling,1,30,True,True
rolling,1,31,True,False
rolling,1,32,True,False
rolling,1,33,False,False
rolling,1,34,False,True
rolling,1,35,True,True
rolling,1,36,True,True
rolling,1,37,False,True
rolling,1,38,False,False
rolling,1,39,True,False
rolling,1,40,True,False
rolling,1,41,True,False
rolling,1,42,True,True
rolling,1,43,True,False
rolling,1,44,True,True
rolling,1,45,False,True
rolling,1,46,True,False
rolling,1,47,False,True
rolling,1,48,False,True
rolling,1,49,True,True
rolling,1,50,True,False
rolling,1,51,False,True
rolling,2,0,True,False
rolling,2,1,True,False
rolling,2,2,True,False
rolling,2,3,False,True
rolling,2,4,True,False
rolling,2,5,False,True
rolling,2,6,True,False
rolling,2,7,False,True
rolling,2,8,True,False
rolling,2,9,False,True
rolling,2,10,False,True
rolling,2,11,False,False
rolling,2,12,False,True
rolling,2,13,True,False
rolling,2,14,True,True
rolling,2,15,False,True
rolling,2,16,False,True
rolling,2,17,False,True
rolling,2,18,False,True
rolling,2,19,True,False
rolling,2,20,False,True
rolling,2,21,True,False
rolling,2,22,False,True
rolling,2,23,False,True
rolling,2,24,True,False
rolling,2,25,True,False
rolling,2,26,True,False
rolling,2,27,False,False
rolling,2,28,True,True
rolling,2,29,True,False
rolling,2,30,True,False
rolling,2,31,True,False
rolling,2,32,True,False
rolling,2,33,False,True
rolling,2,34,True,True
rolling,2,35,True,False
rolling,2,36,True,False
rolling,2,37,True,False
rolling,2,38,True,False
rolling,2,39,True,False
rolling,2,40,True,False
rolling,2,41,True,False
rolling,2,42,True,False
rolling,2,43,True,False
rolling,2,44,True,False
rolling,2,45,True,False
rolling,2,46,False,True
rolling,2,47,False,True
rolling,2,48,True,False
rolling,2,49,True,False
rolling,2,50,True,True
rolling,3,0,True,False
rolling,3,1,True,False
rolling,3,2,False,True
rolling,3,3,True,False
rolling,3,4,True,False
rolling,3,5,True,False
rolling,3,6,True,False
rolling,3,7,True,False
rolling,3,8,False,True
rolling,3,9,False,True
rolling,3,10,False,False
rolling,3,11,False,True
rolling,3,12,True,True
rolling,3,13,True,False
rolling,3,14,False,True
rolling,3,15,False,True
rolling,3,16,False,True
rolling,3,17,True,False
rolling,3,18,True,False
rolling,3,19,True,True
rolling,3,20,True,False
rolling,3,21,False,True
rolling,3,22,True,False
rolling,3,23,True,False
rolling,3,24,True,False
rolling,3,25,True,False
rolling,3,26,True,False
rolling,3,27,True,True
rolling,3,28,True,False
rolling,3,29,True,False
rolling,3,30,True,False
rolling,3,31,True,False
rolling,3,32,True,True
rolling,3,33,True,True
rolling,3,34,True,False
rolling,3,35,True,False
rolling,3,36,True,False
rolling,3,37,True,False
rolling,3,38,True,False
rolling,3,39,True,False
rolling,3,40,True,False
rolling,3,41,True,False
rolling,3,42,True,False
rolling,3,43,True,False
rolling,3,44,True,False
rolling,3,45,False,True
rolling,3,46,False,True
rolling,3,47,True,False
rolling,3,48,True,False
rolling,3,49,True,True
rolling,4,0,True,False
rolling,4,1,True,False
rolling,4,2,True,False
rolling,4,3,True,False
rolling,4,4,True,False
rolling,4,5,True,False
rolling,4,6,True,False
rolling,4,7,False,False
rolling,4,8,True,False
rolling,4,9,True,False
rolling,4,10,False,True
rolling,4,11,True,False
rolling,4,12,True,True
rolling,4,13,False,True
rolling,4,14,False,True
rolling,4,15,True,True
rolling,4,16,True,False
rolling,4,17,True,False
rolling,4,18,True,False
rolling,4,19,True,False
rolling,4,20,False,True
rolling,4,21,True,False
rolling,4,22,True,False
rolling,4,23,True,False
