train_type,batch_size,test_batch,clean_correct,dirty_correct
increasing,3,0,True,False
increasing,3,1,True,False
increasing,3,2,True,False
increasing,3,3,True,False
increasing,3,4,True,False
increasing,3,5,True,False
increasing,3,6,True,False
increasing,3,7,True,False
increasing,3,8,False,False
increasing,3,9,True,False
increasing,3,10,True,False
increasing,3,11,True,False
increasing,3,12,True,False
increasing,3,13,True,False
increasing,3,14,True,True
increasing,3,15,True,False
increasing,3,16,True,False
increasing,3,17,False,False
increasing,3,18,True,False
increasing,3,19,True,False
increasing,3,20,True,False
increasing,3,21,False,True
increasing,3,22,True,False
increasing,3,23,True,False
increasing,3,24,True,False
increasing,3,25,True,False
increasing,3,26,True,False
increasing,3,27,True,False
increasing,3,28,True,False
increasing,3,29,True,False
increasing,3,30,True,False
increasing,3,31,True,False
increasing,3,32,True,False
increasing,3,33,True,False
increasing,3,34,True,False
increasing,3,35,True,False
increasing,3,36,True,False
increasing,3,37,True,False
increasing,3,38,True,False
increasing,3,39,True,False
increasing,3,40,True,False
increasing,3,41,True,False
increasing,3,42,False,False
increasing,3,43,True,False
increasing,3,44,True,False
increasing,3,45,True,False
increasing,3,46,True,False
increasing,3,47,True,False
increasing,3,48,True,False
increasing,3,49,True,False
